Group 1,Group 2,Group 3,Group 4,Name,Nutrient,Minimum,Maximum
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,eNDF,20,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,eNDF,20,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Fe,0,500
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Fe,45,500
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,I,0,50
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,I,0.7,50
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,K,0.6,2
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,K,0.6,2
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Mg,0.16,0.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Mg,0.16,0.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Mn,0,2000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Mn,35,2000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Mo,0,10
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Mo,0.5,10
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Na,0.15,1.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Na,0.15,1.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,NDF,0,46.7
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,NDF,0,46.7
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,P,0.198,0.396
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,P,0.198,0.396
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,RUP,3.2,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,RUP,3.2,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,S,0,0.3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,S,0.22,0.3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Se,0,4
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Se,0.2,4
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,TDNCamelids,56.7,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,TDNCamelids,56.7,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Vit A,0,16000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Vit A,4200,16000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Vit D,0,2200
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Vit D,1500,2200
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Vit E,0,1000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Vit E,30,1000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Gestation ration,Zn,0,750
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Gestation ration,Zn,27,750
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,ADF,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,ADF,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Ca,0.49,0.98
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Ca,0.49,0.98
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,CF,10,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,CF,10,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Cl,0.5,3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Cl,0.5,3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Co,0,20
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Co,0.1,20
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,CP,13.5,15.1
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,CP,13.5,15.1
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Cu,0,25
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Cu,9,25
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,DECamelids,2.97,4.414
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,DECamelids,2.97,4.414
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,DM,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,DM,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,EE,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,EE,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,eNDF,20,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,eNDF,20,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Fe,0,500
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Fe,40,500
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,I,0,50
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,I,0.4,50
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,K,0.6,2
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,K,0.6,2
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Mg,0.15,0.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Mg,0.15,0.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Mn,0,2000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Mn,30,2000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Mo,0,10
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Mo,0.5,10
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Na,0.13,1.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Na,0.13,1.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,NDF,0,29
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,NDF,0,29
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,P,0.24,0.48
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,P,0.24,0.48
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,RUP,4,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,RUP,4,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,S,0,0.3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,S,0.18,0.3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Se,0,4
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Se,0.2,4
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,TDNCamelids,70.2,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,TDNCamelids,70.2,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Vit A,0,16000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Vit A,2300,16000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Vit D,0,2200
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Vit D,1500,2200
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Vit E,0,1000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Vit E,20,1000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Grower ration,Zn,0,750
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Grower ration,Zn,27,750
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,ADF,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,ADF,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Ca,0.27,0.54
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Ca,0.27,0.54
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,CF,14,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,CF,14,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Cl,0.6,3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Cl,0.6,3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Co,0,20
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Co,0.2,20
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,CP,12,13
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,CP,12,13
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Cu,0,25
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Cu,11,25
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,DECamelids,2.61,4.414
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,DECamelids,2.61,4.414
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,DM,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,DM,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,EE,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,EE,0,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,eNDF,20,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,eNDF,20,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Fe,0,500
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Fe,50,500
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,I,0,50
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,I,0.8,50
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,K,0.7,2
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,K,0.7,2
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Mg,0.15,0.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Mg,0.15,0.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Mn,0,2000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Mn,40,2000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Mo,0,10
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Mo,0.5,10
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Na,0.17,1.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Na,0.17,1.6
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,NDF,0,35
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,NDF,0,35
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,P,0.234,0.468
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,P,0.234,0.468
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,RUP,3.6,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,RUP,3.6,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,S,0,0.3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,S,0.24,0.3
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Se,0,4
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Se,0.2,4
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,TDNCamelids,59.4,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,TDNCamelids,59.4,100
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Vit A,0,16000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Vit A,5000,16000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Vit D,0,2200
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Vit D,1500,2200
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Vit E,0,1000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Vit E,40,1000
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNE,A complete (Full feed) Lactation ration,Zn,0,750
,Alpacas and Llamas,Complete Feeds for the four production catergories,MNI,A complete (Full feed) Lactation ration,Zn,27,750
,Pigs,Finishing Rations for Gilts and Barrows,MNE,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Arg,0,
,Pigs,Finishing Rations for Gilts and Barrows,MNI,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Arg,0.19,
,Pigs,Finishing Rations for Gilts and Barrows,MNE,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Avail Lys,0,
,Pigs,Finishing Rations for Gilts and Barrows,MNI,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Avail Lys,0.58,
,Pigs,Finishing Rations for Gilts and Barrows,MNE,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Avail P,0.19,0.38
,Pigs,Finishing Rations for Gilts and Barrows,MNI,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Avail P,0.19,0.38
,Pigs,Finishing Rations for Gilts and Barrows,MNE,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Biotin,0,
,Pigs,Finishing Rations for Gilts and Barrows,MNI,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Biotin,0.05,
,Pigs,Finishing Rations for Gilts and Barrows,MNE,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Ca,0.5,1
,Pigs,Finishing Rations for Gilts and Barrows,MNI,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Ca,0.5,1
,Pigs,Finishing Rations for Gilts and Barrows,MNE,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",CF,0,10
,Pigs,Finishing Rations for Gilts and Barrows,MNI,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",CF,0,10
,Pigs,Finishing Rations for Gilts and Barrows,MNE,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Choline,0,
,Pigs,Finishing Rations for Gilts and Barrows,MNI,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Choline,300,
,Pigs,Finishing Rations for Gilts and Barrows,MNE,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Cl,0.08,
,Pigs,Finishing Rations for Gilts and Barrows,MNI,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",Cl,0.08,
,Pigs,Finishing Rations for Gilts and Barrows,MNE,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",CP,14.2,15.2
,Pigs,Finishing Rations for Gilts and Barrows,MNI,"Barrows, BW: 50 - 80 kg (110 - 175 lb), to gain 300 g/day",CP,14.2,15.2
